# timestamp,MA2010 J1,MA2010 J2,MA2010 J3,MA2010 J4,MA2010 J5,MA2010 J6,MA1440 J1,MA1440 J2,MA1440 J3,MA1440 J4,MA1440 J5,MA1440 J6,D500B J1,D500B J2
1.763670882096979380e+09,-4.663041366288689926e-01,6.192951860754217774e-01,1.490481475543455614e-01,-1.712120492285264250e-01,-7.418331090214961288e-01,4.031011631540950546e-01,-2.657116623776837883e-01,1.179245813211101890e+00,2.951133598965911542e-01,-9.647074719168666768e-01,-1.679237811492783727e+00,2.553396209144239482e+00,-2.618654332217831837e-01,-1.570606163887307449e+00
1.763670882105118752e+09,-4.662911251846860172e-01,6.193866759832479252e-01,1.491796316218786111e-01,-1.711949860384498201e-01,-7.418687192897862603e-01,4.030627835327341146e-01,-2.657238219814901936e-01,1.179111589892162026e+00,2.948679229705294946e-01,-9.646894780073314024e-01,-1.679166590956203242e+00,2.553511348008322024e+00,-2.618654332217831837e-01,-1.570606163887307449e+00
1.763670882113627195e+09,-4.662651022963201219e-01,6.194873148818567099e-01,1.493111156894116609e-01,-1.711779228483732429e-01,-7.419043295580765029e-01,4.030627835327341146e-01,-2.657481411891030043e-01,1.178990788905115883e+00,2.946102141981646882e-01,-9.646714840977960170e-01,-1.679113175553768045e+00,2.553626486872405010e+00,-2.618654332217831837e-01,-1.570606163887307449e+00
1.763670882121563673e+09,-4.662390794079541712e-01,6.195788047896829687e-01,1.494425997569447107e-01,-1.711608596582966380e-01,-7.419399398263667456e-01,4.030244039113731747e-01,-2.657603007929094097e-01,1.178856565586176020e+00,2.943525054257998819e-01,-9.646534901882607427e-01,-1.679041955017187560e+00,2.553780005357848992e+00,-2.618654332217831837e-01,-1.570606163887307449e+00
1.763670882129564762e+09,-4.662130565195882759e-01,6.197251886422048273e-01,1.496507828638720672e-01,-1.711267332781434558e-01,-7.419933552288020540e-01,4.029476446686512392e-01,-2.657846200005222204e-01,1.178668652939659944e+00,2.939843500367073648e-01,-9.646175023691900829e-01,-1.678935124212316943e+00,2.553895144221931535e+00,-2.618654332217831837e-01,-1.570606163887307449e+00
1.763670882138165474e+09,-4.662000450754053005e-01,6.197709335961179011e-01,1.497165248976385921e-01,-1.711267332781434558e-01,-7.420111603629471198e-01,4.029476446686512392e-01,-2.657846200005222204e-01,1.178614963612083955e+00,2.938616315736765072e-01,-9.645995084596548086e-01,-1.678899513944026811e+00,2.553971903464653526e+00,-2.618654332217831837e-01,-1.570606163887307449e+00
1.763670882146049500e+09,-4.661870336312223251e-01,6.198166785500309750e-01,1.497822669314051169e-01,-1.711096700880668509e-01,-7.420289654970921855e-01,4.029092650472902992e-01,-2.657967796043286812e-01,1.178547851952614023e+00,2.937389131106456497e-01,-9.645815145501194232e-01,-1.678881708809881745e+00,2.554010283086014521e+00,-2.618654332217831837e-01,-1.570606163887307449e+00
1.763670882153969049e+09,-4.661479992986734544e-01,6.199996583656833815e-01,1.500452350664712164e-01,-1.710755437079136687e-01,-7.421001860336726708e-01,4.028325058045684193e-01,-2.658210988119414919e-01,1.178306249978521958e+00,2.932480392585222195e-01,-9.645455267310488745e-01,-1.678739267736720775e+00,2.554240560814180494e+00,-2.618654332217831837e-01,-1.570606163887307449e+00
1.763670882162481308e+09,-4.661349878544905345e-01,6.200911482735095293e-01,1.501657621283765121e-01,-1.710584805178370915e-01,-7.421357963019628023e-01,4.027941261832074793e-01,-2.658332584157478973e-01,1.178185448991476036e+00,2.930026023324605600e-01,-9.645275328215134891e-01,-1.678668047200140512e+00,2.554355699678263036e+00,-2.618654332217831837e-01,-1.570618841414479938e+00
1.763670882170346498e+09,-4.661089649661245837e-01,6.201826381813356770e-01,1.502972461959095618e-01,-1.710414173277604866e-01,-7.421714065702530450e-01,4.027557465618464838e-01,-2.658575776233607080e-01,1.178064648004429893e+00,2.927571654063988449e-01,-9.644915450024428294e-01,-1.678614631797705092e+00,2.554432458920985027e+00,-2.618654332217831837e-01,-1.570618841414479938e+00
1.763670882178901434e+09,-4.660829420777586884e-01,6.202741280891619358e-01,1.504287302634426393e-01,-1.710243541376839094e-01,-7.421892117043981107e-01,4.027173669404855438e-01,-2.658697372271671133e-01,1.177943847017383971e+00,2.925117284803371298e-01,-9.644735510929075550e-01,-1.678543411261124829e+00,2.554547597785068014e+00,-2.618654332217831837e-01,-1.570618841414479938e+00
1.763670882186993361e+09,-4.660699306335757131e-01,6.203656179969880835e-01,1.505492573253479349e-01,-1.710072909476073044e-01,-7.422248219726883534e-01,4.027173669404855438e-01,-2.658818968309735187e-01,1.177823046030338050e+00,2.922662915542754147e-01,-9.644555571833722807e-01,-1.678472190724544344e+00,2.554662736649151000e+00,-2.618654332217831837e-01,-1.570618841414479938e+00
1.763670882195005655e+09,-4.660439077452098178e-01,6.204571079048142312e-01,1.506807413928809847e-01,-1.709902277575307272e-01,-7.422604322409784849e-01,4.026789873191246039e-01,-2.658940564347799240e-01,1.177702245043291907e+00,2.920208546282137552e-01,-9.644375632738368953e-01,-1.678418775322109147e+00,2.554777875513233543e+00,-2.618654332217831837e-01,-1.570618841414479938e+00
1.763670882203048706e+09,-4.660308963010268424e-01,6.205028528587273051e-01,1.507464834266475096e-01,-1.709902277575307272e-01,-7.422782373751236618e-01,4.026789873191246039e-01,-2.659062160385863294e-01,1.177648555715715917e+00,2.919104080114859889e-01,-9.644195693643016210e-01,-1.678383165053818793e+00,2.554816255134594538e+00,-2.618654332217831837e-01,-1.570618841414479938e+00
1.763670882211575747e+09,-4.660048734126609471e-01,6.206309387296840008e-01,1.509327525223193300e-01,-1.709561013773775451e-01,-7.423316527775589702e-01,4.026022280764026684e-01,-2.659183756423927902e-01,1.177460643069200064e+00,2.915422526223934163e-01,-9.643835815452309612e-01,-1.678294139383093242e+00,2.554969773620038520e+00,-2.618654332217831837e-01,-1.570618841414479938e+00
1.763670882219620705e+09,-4.659788505242949963e-01,6.207224286375101485e-01,1.510642365898524075e-01,-1.709390381873009401e-01,-7.423494579117040360e-01,4.025638484550417284e-01,-2.659426948500056009e-01,1.177339842082153920e+00,2.913090875426347925e-01,-9.643655876356956869e-01,-1.678222918846512979e+00,2.555046532862760511e+00,-2.618654332217831837e-01,-1.570618841414479938e+00
1.763670882228657246e+09,-4.659788505242949963e-01,6.207681735914232224e-01,1.511299786236189324e-01,-1.709390381873009401e-01,-7.423672630458491017e-01,4.025638484550417284e-01,-2.659426948500056009e-01,1.177286152754577930e+00,2.911863690796039350e-01,-9.643475937261604125e-01,-1.678205113712367913e+00,2.555123292105482058e+00,-2.618654332217831837e-01,-1.570618841414479938e+00
1.763670882237210989e+09,-4.659528276359291010e-01,6.208596634992494812e-01,1.512614626911519822e-01,-1.709219749972243352e-01,-7.424028733141393444e-01,4.025254688336807884e-01,-2.659548544538120063e-01,1.177165351767532009e+00,2.909409321535422199e-01,-9.643295998166250271e-01,-1.678133893175787428e+00,2.555238430969565044e+00,-2.618654332217831837e-01,-1.570618841414479938e+00
1.763670882245744467e+09,-4.659268047475631502e-01,6.209968983609887028e-01,1.514586887924515568e-01,-1.709049118071477580e-01,-7.424562887165746528e-01,4.024487095909588530e-01,-2.659791736614248170e-01,1.176977439121015934e+00,2.905727767644497028e-01,-9.642936119975543674e-01,-1.678044867505061877e+00,2.555391949455009026e+00,-2.618654332217831837e-01,-1.570618841414479938e+00
1.763670882253736258e+09,-4.659007818591972550e-01,6.210792392780323246e-01,1.515901728599846066e-01,-1.708878486170711530e-01,-7.424918989848648954e-01,4.024103299695979130e-01,-2.659913332652312223e-01,1.176856638133970012e+00,2.903273398383879877e-01,-9.642756180880190930e-01,-1.677973646968481614e+00,2.555468708697731017e+00,-2.618654332217831837e-01,-1.570618841414479938e+00
1.763670882261817932e+09,-4.658617475266483843e-01,6.212256231305541831e-01,1.517873989612842089e-01,-1.708537222369179709e-01,-7.425453143873002038e-01,4.024103299695979130e-01,-2.660156524728440330e-01,1.176668725487453937e+00,2.899591844492954151e-01,-9.642396302689484333e-01,-1.677866816163610997e+00,2.555622227183174555e+00,-2.618654332217831837e-01,-1.570631518941652649e+00
1.763670882270169497e+09,-4.658487360824654089e-01,6.213171130383803309e-01,1.519188830288172587e-01,-1.708366590468413937e-01,-7.425809246555903353e-01,4.023719503482369730e-01,-2.660278120766504384e-01,1.176547924500408016e+00,2.897137475232337001e-01,-9.642216363594131590e-01,-1.677813400761175577e+00,2.555737366047257542e+00,-2.618654332217831837e-01,-1.570631518941652649e+00
1.763670882278851748e+09,-4.658357246382824890e-01,6.213628579922934048e-01,1.519846250625837836e-01,-1.708195958567647887e-01,-7.425987297897354011e-01,4.023335707268760331e-01,-2.660399716804568437e-01,1.176494235172832026e+00,2.895910290602028980e-01,-9.642036424498778846e-01,-1.677777790492885446e+00,2.555775745668618537e+00,-2.618654332217831837e-01,-1.570631518941652649e+00
1.763670882287409782e+09,-4.658097017499165382e-01,6.214543479001196635e-01,1.521270661357445875e-01,-1.708025326666882115e-01,-7.426343400580256437e-01,4.022951911055150376e-01,-2.660521312842633046e-01,1.176360011853892162e+00,2.893333202878380916e-01,-9.641856485403424992e-01,-1.677706569956304961e+00,2.555890884532701524e+00,-2.618654332217831837e-01,-1.570631518941652649e+00
1.763670882295604229e+09,-4.657966903057336183e-01,6.215458378079458113e-01,1.522585502032776372e-01,-1.707854694766116066e-01,-7.426521451921707095e-01,4.022568114841540976e-01,-2.660642908880697100e-01,1.176239210866846019e+00,2.890878833617763766e-01,-9.641496607212718395e-01,-1.677635349419724697e+00,2.555967643775423070e+00,-2.618654332217831837e-01,-1.570631518941652649e+00
1.763670882303979874e+09,-4.657576559731846921e-01,6.216922216604676699e-01,1.524557763045772396e-01,-1.707684062865350294e-01,-7.427055605946060179e-01,4.022184318627931576e-01,-2.660886100956825207e-01,1.176051298220330166e+00,2.887074561263807682e-01,-9.641136729022012908e-01,-1.677546323748999146e+00,2.556159541882228048e+00,-2.618654332217831837e-01,-1.570631518941652649e+00
1.763670882312996626e+09,-4.657446445290017722e-01,6.217379666143807437e-01,1.525215183383437645e-01,-1.707513430964584245e-01,-7.427233657287511948e-01,4.021800522414322177e-01,-2.661007696994889260e-01,1.175997608892754176e+00,2.885847376633499106e-01,-9.641136729022012908e-01,-1.677510713480708793e+00,2.556197921503589043e+00,-2.618654332217831837e-01,-1.570631518941652649e+00
1.763670882321026802e+09,-4.657186216406358215e-01,6.218752014761200764e-01,1.527187444396433391e-01,-1.707342799063818195e-01,-7.427767811311865032e-01,4.021416726200712222e-01,-2.661129293032953314e-01,1.175809696246238101e+00,2.882043104279542467e-01,-9.640776850831306310e-01,-1.677421687809983464e+00,2.556389819610393577e+00,-2.618654332217831837e-01,-1.570631518941652649e+00
1.763670882329625130e+09,-4.656925987522699262e-01,6.219758403747288611e-01,1.528502285071763889e-01,-1.707172167163052423e-01,-7.428123913994766347e-01,4.020649133773493422e-01,-2.661372485109081421e-01,1.175688895259192179e+00,2.879588735018925316e-01,-9.640596911735953567e-01,-1.677350467273402979e+00,2.556504958474476563e+00,-2.618654332217831837e-01,-1.570631518941652649e+00
1.763670882337717295e+09,-4.656665758639040309e-01,6.221130752364681937e-01,1.530474546084759635e-01,-1.706830903361520602e-01,-7.428658068019119431e-01,4.020265337559884022e-01,-2.661494081147145474e-01,1.175500982612676104e+00,2.875784462664969232e-01,-9.640237033545246970e-01,-1.677243636468532362e+00,2.556620097338559550e+00,-2.618654332217831837e-01,-1.570631518941652649e+00
1.763670882346156359e+09,-4.656535644197210555e-01,6.221588201903812676e-01,1.531131966422424884e-01,-1.706830903361520602e-01,-7.428836119360571200e-01,4.020265337559884022e-01,-2.661615677185209528e-01,1.175433870953206172e+00,2.874557278034660657e-01,-9.640057094449893116e-01,-1.677208026200242230e+00,2.556658476959920545e+00,-2.618654332217831837e-01,-1.570631518941652649e+00
1.763670882354734898e+09,-4.656275415313551047e-01,6.222960550521204892e-01,1.533104227435420908e-01,-1.706489639559988780e-01,-7.429370273384924284e-01,4.019881541346274068e-01,-2.661858869261338190e-01,1.175259380638584039e+00,2.870875724143734931e-01,-9.639697216259187629e-01,-1.677119000529516679e+00,2.556850375066725078e+00,-2.618654332217831837e-01,-1.570631518941652649e+00
1.763670882362826347e+09,-4.656015186429892094e-01,6.223966939507292739e-01,1.534419068110751405e-01,-1.706319007659222731e-01,-7.429726376067825599e-01,4.019497745132664668e-01,-2.661980465299402243e-01,1.175125157319644176e+00,2.868421354883117780e-01,-9.639517277163833775e-01,-1.677047779992936194e+00,2.556965513930808065e+00,-2.618654332217831837e-01,-1.570644196468825138e+00
1.763670882371478796e+09,-4.655885071988062340e-01,6.224881838585555327e-01,1.535733908786081903e-01,-1.706148375758456959e-01,-7.430082478750728026e-01,4.019113948919055268e-01,-2.662102061337466297e-01,1.175004356332598032e+00,2.865966985622501184e-01,-9.639337338068481031e-01,-1.676994364590500997e+00,2.557080652794891051e+00,-2.618654332217831837e-01,-1.570644196468825138e+00
1.763670882380028725e+09,-4.655754957546233141e-01,6.225339288124686066e-01,1.536281759067469610e-01,-1.706148375758456959e-01,-7.430260530092178684e-01,4.018730152705445868e-01,-2.662223657375530350e-01,1.174950667005022042e+00,2.864862519455223522e-01,-9.639157398973128288e-01,-1.676958754322210643e+00,2.557080652794891051e+00,-2.618654332217831837e-01,-1.570644196468825138e+00
1.763670882387995243e+09,-4.655494728662573634e-01,6.226620146834251912e-01,1.538254020080465356e-01,-1.705807111956925137e-01,-7.430794684116531768e-01,4.018346356491835913e-01,-2.662466849451658457e-01,1.174776176690400131e+00,2.861180965564297796e-01,-9.638797520782421691e-01,-1.676851923517340248e+00,2.557234171280334589e+00,-2.618654332217831837e-01,-1.570644196468825138e+00
1.763670882396005154e+09,-4.655234499778914681e-01,6.227535045912514500e-01,1.539459290699518590e-01,-1.705636480056159088e-01,-7.431150786799434194e-01,4.017962560278226514e-01,-2.662588445489722511e-01,1.174655375703354210e+00,2.858849314766711558e-01,-9.638617581687068947e-01,-1.676798508114904829e+00,2.557349310144417576e+00,-2.618654332217831837e-01,-1.570644196468825138e+00
1.763670882404066801e+09,-4.655104385337084927e-01,6.228449944990775977e-01,1.540774131374849087e-01,-1.705465848155393316e-01,-7.431506889482335509e-01,4.017578764064617114e-01,-2.662710041527786564e-01,1.174534574716308066e+00,2.856394945506094407e-01,-9.638257703496362350e-01,-1.676727287578324344e+00,2.557464449008500562e+00,-2.618654332217831837e-01,-1.570644196468825138e+00
1.763670882412023783e+09,-4.654974270895255728e-01,6.228907394529906716e-01,1.541431551712514336e-01,-1.705465848155393316e-01,-7.431684940823787278e-01,4.017194967851007714e-01,-2.662831637565850618e-01,1.174467463056838135e+00,2.855167760875785832e-01,-9.638257703496362350e-01,-1.676691677310034212e+00,2.557541208251222109e+00,-2.618654332217831837e-01,-1.570644196468825138e+00
1.763670882420632362e+09,-4.654714042011596220e-01,6.230279743147300042e-01,1.543294242669232541e-01,-1.705124584353861217e-01,-7.432219094848140362e-01,4.017194967851007714e-01,-2.663074829641979280e-01,1.174292972742216223e+00,2.851608925447891574e-01,-9.637897825305655752e-01,-1.676602651639308661e+00,2.557656347115305095e+00,-2.618654332217831837e-01,-1.570644196468825138e+00
1.763670882428723574e+09,-4.654583927569766466e-01,6.230737192686430781e-01,1.543951663006897790e-01,-1.705124584353861217e-01,-7.432397146189591020e-01,4.016811171637397759e-01,-2.663074829641979280e-01,1.174225861082746070e+00,2.850381740817582998e-01,-9.637717886210303009e-01,-1.676567041371018529e+00,2.557694726736666091e+00,-2.618654332217831837e-01,-1.570644196468825138e+00
1.763670882436791897e+09,-4.654323698686107513e-01,6.232018051395996627e-01,1.545923924019893814e-01,-1.704783320552329395e-01,-7.433109351555394761e-01,4.016427375423788360e-01,-2.663318021718107387e-01,1.174051370768124158e+00,2.846822905389688185e-01,-9.637358008019596411e-01,-1.676478015700292978e+00,2.557886624843471068e+00,-2.618654332217831837e-01,-1.570644196468825138e+00
1.763670882444917679e+09,-4.654193584244277759e-01,6.232475500935127366e-01,1.546581344357559062e-01,-1.704783320552329395e-01,-7.433109351555394761e-01,4.016043579210178960e-01,-2.663439617756171440e-01,1.173997681440548169e+00,2.845595720759379610e-01,-9.637358008019596411e-01,-1.676442405432002847e+00,2.557925004464832064e+00,-2.618654332217831837e-01,-1.570644196468825138e+00
1.763670882452925920e+09,-4.653933355360618807e-01,6.233847849552520692e-01,1.548553605370554809e-01,-1.704442056750797574e-01,-7.433643505579747846e-01,4.015659782996569560e-01,-2.663561213794235494e-01,1.173809768794032093e+00,2.841914166868453884e-01,-9.636998129828889814e-01,-1.676371184895422362e+00,2.558116902571636597e+00,-2.618654332217831837e-01,-1.570644196468825138e+00
1.763670882460983276e+09,-4.653803240918789053e-01,6.234305299091651431e-01,1.549211025708220058e-01,-1.704442056750797574e-01,-7.433821556921198503e-01,4.015275986782959605e-01,-2.663682809832299547e-01,1.173756079466456104e+00,2.840686982238145863e-01,-9.636818190733537071e-01,-1.676335574627132230e+00,2.558155282192997593e+00,-2.618654332217831837e-01,-1.570656873995997849e+00
1.763670882468861103e+09,-4.653412897593300346e-01,6.235769137616870017e-01,1.551183286721215804e-01,-1.704100792949265752e-01,-7.434533762287003356e-01,4.014892190569350205e-01,-2.663926001908427654e-01,1.173568166819940251e+00,2.837128146810251050e-01,-9.636638251638183217e-01,-1.676246548956406679e+00,2.558308800678441575e+00,-2.618654332217831837e-01,-1.570656873995997849e+00
1.763670882477714777e+09,-4.653282783151470592e-01,6.236684036695132605e-01,1.552498127396546579e-01,-1.703930161048499980e-01,-7.434889864969904671e-01,4.014508394355740806e-01,-2.664047597946491708e-01,1.173447365832894107e+00,2.834551059086602987e-01,-9.636458312542830473e-01,-1.676175328419826194e+00,2.558423939542524117e+00,-2.618654332217831837e-01,-1.570656873995997849e+00
1.763670882485675573e+09,-4.653022554267811639e-01,6.237598935773394082e-01,1.553812968071877076e-01,-1.703759529147733931e-01,-7.435245967652807098e-01,4.014124598142131406e-01,-2.664169193984555761e-01,1.173326564845848186e+00,2.832096689825985836e-01,-9.636098434352123876e-01,-1.676121913017390996e+00,2.558539078406607103e+00,-2.618654332217831837e-01,-1.570656873995997849e+00
1.763670882494242191e+09,-4.652892439825981885e-01,6.238605324759481929e-01,1.555237378803485115e-01,-1.703588897246968159e-01,-7.435602070335709524e-01,4.014124598142131406e-01,-2.664290790022619815e-01,1.173205763858802264e+00,2.829642320565369240e-01,-9.635918495256771132e-01,-1.676068497614955799e+00,2.558654217270690090e+00,-2.618654332217831837e-01,-1.570656873995997849e+00
1.763670882502898693e+09,-4.652502096500493178e-01,6.239977673376875256e-01,1.557209639816480862e-01,-1.703418265346202110e-01,-7.436136224360062608e-01,4.013357005714912051e-01,-2.664533982098748477e-01,1.173017851212286189e+00,2.825838048211412601e-01,-9.635558617066064535e-01,-1.675961666810085182e+00,2.558769356134772632e+00,-2.618654332217831837e-01,-1.570656873995997849e+00
1.763670882511533022e+09,-4.652371982058663979e-01,6.240435122916005994e-01,1.557867060154146110e-01,-1.703247633445436060e-01,-7.436314275701513266e-01,4.013357005714912051e-01,-2.664655578136812530e-01,1.172964161884710199e+00,2.824610863581104025e-01,-9.635558617066064535e-01,-1.675943861675939894e+00,2.558846115377494623e+00,-2.618654332217831837e-01,-1.570656873995997849e+00
1.763670882519573927e+09,-4.652241867616834226e-01,6.241441511902093842e-01,1.559291470885754149e-01,-1.703077001544670288e-01,-7.436670378384415692e-01,4.012973209501302652e-01,-2.664777174174876584e-01,1.172829938565770336e+00,2.822033775857456517e-01,-9.635198738875359048e-01,-1.675872641139359631e+00,2.558961254241577610e+00,-2.618654332217831837e-01,-1.570656873995997849e+00
1.763670882527589798e+09,-4.651981638733174718e-01,6.242356410980355319e-01,1.560606311561084925e-01,-1.702906369643904239e-01,-7.437026481067317008e-01,4.012589413287693252e-01,-2.664898770212940637e-01,1.172709137578724192e+00,2.819579406596839366e-01,-9.635018799780005194e-01,-1.675801420602779146e+00,2.559076393105660596e+00,-2.618654332217831837e-01,-1.570656873995997849e+00
1.763670882535710812e+09,-4.651721409849515765e-01,6.243271310058616796e-01,1.561921152236415422e-01,-1.702735737743138467e-01,-7.437382583750219434e-01,4.012205617074083297e-01,-2.665020366251004691e-01,1.172588336591678271e+00,2.817002318873191302e-01,-9.634838860684652451e-01,-1.675748005200343949e+00,2.559191531969743139e+00,-2.618654332217831837e-01,-1.570656873995997849e+00
1.763670882543798447e+09,-4.651461180965856812e-01,6.244735148583836493e-01,1.563893413249411168e-01,-1.702565105842372417e-01,-7.437916737774572518e-01,4.011438024646864497e-01,-2.665263558327132798e-01,1.172400423945162196e+00,2.813320764982265576e-01,-9.634478982493945853e-01,-1.675658979529618398e+00,2.559345050455187121e+00,-2.618654332217831837e-01,-1.570669551523170338e+00
